DE-27;GBV;THULB;Jena;Thüringer Universitäts- und Landesbibliothek Jena
DE-386;HBZ;UBKL;Kaiserslautern;Universitätsbibliothek Kaiserslautern
DE-31;SWB;BLB;Karlsruhe;Badische Landesbibliothek Karlsruhe
DE-90-8;SWB;DHBW;Karlsruhe;Duale Hochschule Baden-Württemberg Karlsruhe,  Bibliothek
DE-90-4;SWB;FBHKA;Karlsruhe;Fachbibliothek Hochschule Karlsruhe
DE-751;SWB;HSBKA;Karlsruhe;Hochschulbibliothek Karlsruhe (PH)
DE-90;SWB;KIT;Karlsruhe;Karlsruher Institut für Technologie KIT
DE-Ka88;SWB;ZKM;Karlsruhe;Zentrum für Kunst und Medien Karlsruhe / Staatliche Hochschule für Gestaltung,  Bibliothek
DE-34;HeBIS;UBKAS;Kassel;Universitätsbibliothek Kassel
DE-859;BVB;FHBKA;Kempten;Hochschulbibliothek Kempten
DE-8;GBV;UBK;Kiel;Universitätsbibliothek Kiel
DE-206;GBV;ZBW;Kiel;ZBW, Deutsche Zentralbibliothek für Wirtschaftswissenschaften, Standort Kiel
DE-Ki95;GBV;FHKI;Kiel;Zentralbibliothek der Fachhochschule Kiel
;;;Klagenfurt;Fachhochschulbibliothek Kärnten
AT-UBK-HB;OBV;UBKLU;Klagenfurt;Universitätsbibliothek Klagenfurt
DE-1383;HBZ;HRW;Kleve;Hochschule Rhein-Waal
;;;Klosterneuburg;Institute of Science and Technology Austria
DE-107;HBZ;PLB;Koblenz;Landesbibliothekszentrum Rheinland-Pfalz
DE-Lan1;HBZ;;Koblenz-Landau;Universitätsbibliothek Koblenz-Landau
DE-832;HBZ;FHBK;Köln;Hochschulbibliothek der Fachhochschule Köln
DE-1032;HBZ;KHN;Köln;Katholische Hochschule Nordrhein-Westfalen – Hochschulbibliothek
DE-Kn185;;KFM;Köln;Kunsthochschule für Medien,  Bibliothek/Mediathek
DE-Kn188;;MPIFG;Köln;Max-Planck-Institut für Gesellschaftsforschung
DE-38;HBZ;USBK;Köln;Universitäts- und Stadtbibliothek Köln
DE-Kn41;HBZ;ZBSK;Köln;Zentralbibliothek der Sportwissenschaften der Deutschen Sporthochschule Köln
DE-587c;SWB;ZUMA;Köln/Mannheim;GESIS, Leibniz-Institut für Sozialwissenschaften
DE-Kon4;SWB;FHKN;Konstanz;Hochschulbibliothek der Hochschule Technik, Wirtschaft und Gestaltung Konstanz
DE-352;SWB;UBKO;Konstanz;Universität Konstanz, Kommunikations-,  Informations-,  Medienzentrum (KIM)
DE-Kt1;GBV;HSB;Köthen;Hochschule Anhalt
;;;Krems;Donau-Universität Krems
;;;Kreuzlingen;Bibliothek der Pädagogischen Hochschule Thurgau,  Kreuzlingen
;;;Kufstein;Bibliothek der FH Kufstein Tirol
DE-860;BVB;FHBLA;Landshut;Bibliothek der FH Landshut
DE-L152;SWB;HMTL;Leipzig;Bibliothek der Hochschule für Musik und Theater Leipzig
DE-L229;SWB;SSAL;Leipzig;Bibliothek Staatliche Studienakademie Leipzig
DE-L97;SWB;UFZ;Leipzig;Helmholtz-Zentrum für Umweltforschung GmbH, UFZ
DE-L189;SWB;HTWK;Leipzig;Hochschulbibliothek der HTWK Leipzig
DE-185;SWB;GZB;Leipzig;Leibniz-Institut für Länderkunde
DE-15;SWB;UBL;Leipzig;Universitätsbibliothek Leipzig
DE-743;HBZ;FHLH;Lemgo;S(KIM), Hochschule Ostwestfalen-Lippe
;OBV;;Linz;Anton-Bruckner-Privatuniversität Bibliothek
AT-HBTL;OBV;;Linz;Diözesan- und Universitätsbibliothek der Katholisch-Theologischen Privatuniversität Linz (DUB)
AT-OÖLB;OBV;;Linz;Oberösterreichische Landesbibliothek
;OBV;;Linz;Universitätsbibliothek der Johannes Kepler Universität Linz
AT-UBGL;OBV;UFG;Linz;Universitätsbibliothek der Kunstuniversität Linz
DE-Loer2;SWB;BALO;Lörrach;DHBW Lörrach
DE-841;GBV;UBHL;Lübeck;Zentrale Hochschulbibliothek Lübeck
DE-1147;SWB;FHLB;Ludwigsburg;Bibliothek der Hochschule für öff. Verwaltung und Finanzen
DE-Lg3;SWB;DFI;Ludwigsburg;Deutsch-Französisches Institut
DE-Rt3;SWB;EHLB;Ludwigsburg;Evangelische Hochschule Ludwigsburg
DE-Lg1;SWB;PHLB;Ludwigsburg;Pädagogische Hochschulbibliothek Ludwigsburg
DE-1116;HBZ;FHLU;Ludwigshafen;Hochschulbibliothek Ludwigshafen am Rhein
DE-Luen4;GBV;UBLUE;Lüneburg;Universitätsbibliothek Lüneburg
;;;Luzern;Bibliotheken der Hochschule Luzern
CH-000006-1;Kalliope;;Luzern;Zentral- und Hochschulbibliothek Luzern
DE-551;GBV;HBMST;Magdeburg;Hochschulbibliothek Magdeburg-Stendal
DE-Ma9;GBV;UBMD;Magdeburg;Universitätsbibliothek Magdeburg (einschl. Medizinische Zentralbibliothek)
DE-77;HeBIS;UBMZ;Mainz;Bibliothekssystem der Universität Mainz
DE-36;HeBIS;SBM;Mainz;Stadtbibliothek Mainz
DE-Mh35;SWB;BAMA;Mannheim;Bibliothek der Dualen Hochschule Baden-Württemberg Mannheim
DE-953;SWB;FHMA;Mannheim;Hochschulbibliothek Mannheim
DE-Mh39;SWB;IDS;Mannheim;Institut für Deutsche Sprache (IDS)
DE-1933;;PAK;Mannheim;Mediathek der Popakademie Baden-Württemberg,  Mannheim
DE-Mh31;SWB;MUHOM;Mannheim;Staatliche Hochschule für Musik und Darstellende Kunst Mannheim, Bibliothek
DE-180;SWB;UBMAN;Mannheim;Universitätsbibliothek Mannheim
DE-Mar1;SWB;DLA;Marbach;Deutsches Literaturarchiv Marbach
DE-4;HeBIS;UBMA;Marburg;Universität Marburg
DE-542;GBV;FHMQ;Merseburg;Hochschule Merseburg, Bibliothek
DE-Mit1;SWB;HTWM;Mittweida;Hochschulbibliothek Mittweida
DE-829;HBZ;HSNRH;Mönchengladbach;Hochschulbibliothek der Hochschule Niederrhein
DE-941;SWB;BAMOS;Mosbach;Duale Hochschule Baden-Württemberg
DE-1393;HBZ;HRWMB;Mülheim an der Ruhr;Bibliothek der Hochschule Ruhr West,  Mülheim/Ruhr und Bottrop
DE-M339;BVB;AHM;München;Amerika-Haus-Bibliothek
DE-12;BVB;BSB;München;Bayerische Staatsbibliothek München
DE-M347;BVB;FHM;München;Bibliothek der Hochschule München
DE-M352;BVB;IFZ;München;Bibliothek des Instituts für Zeitgeschichte
DE-1834;SWB;MHMK;München;Hochschule Macromedia University of Applied Sciences Bibliothek
DE-M29;BVB;HMTM;München;Hochschule für Musik und Theater München,  Bibliothek
DE-M477;;MPISR;München;Max-Planck-Institut für Sozialrecht und Sozialpolitik
DE-91;BVB;TUM;München;Technische Universität München Universitätsbibliothek
DE-706;BVB;UBWM;München;Universität der Bundeswehr München
DE-19;BVB;UBM;München;Universitätsbibliothek der LMU München
DE-255;BVB;ZIKG;München;Zentralinstitut für Kunstgeschichte, Bibliothek
DE-1840;;;Münster;Deutsche Hochschule der Polizei,  Münster
DE-836;HBZ;FHBMS;Münster;Fachhochschulbibliothek Münster
DE-6;HBZ;ULBMS;Münster;Universitäts- und Landesbibliothek Münster
DE-519;GBV;FHNB;Neubrandenburg;Hochschulbibliothek Neubrandenburg
DE-150;BVB;SBND;Neuburg an der Donau;Staatliche Bibliothek Neuburg an der Donau
DE-1049;BVB;FHBNU;Neu-Ulm;Hochschulbibliothek Neu-Ulm
DE-1052;BVB;EHS;Nürnberg;Bibliothek der Evangelischen Hochschule Nürnberg
DE-1259;BVB;HMN;Nürnberg;Bibliothek der Hochschule für Musik Nürnberg
DE-92;ÜLV;FHN;Nürnberg;Technische Hochschule Nürnberg Georg Simon Ohm Bibliothek
